Indicator,Regional_Average_Pct,Best_Performer,Worst_Performer,Avg_RuralUrban_Gap_Pts,Avg_Progress_2000_2024_Pts
Basic Water Access,70.2,Cabo Verde (92.3%),DRC (35.7%),28.0,17.5
Safely Managed Water,28.9,South Africa (68.0%),Niger (6.2%),,
Basic Sanitation Access,40.0,Cabo Verde (83.1%),Ethiopia (10.4%),18.1,17.6
Safely Managed Sanitation,27.1,Cabo Verde (73.8%),Ethiopia (8.1%),,
Open Defecation,17.6,Gambia (0.0%),Eritrea (67.0%),,-17.7
Basic Hygiene Access,27.6,Cabo Verde (60.9%),Liberia (3.5%),16.5,6.5
